# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.03766 -----------------
#dely    BF
0.050 -0.1167 -0.0001
0.150 -0.1066 -0.0001
0.250 -0.0916 -0.0001
0.350 -0.0732 -0.0001
0.450 -0.0536 -0.0000
0.550 -0.0362 -0.0000
0.650 -0.0195 -0.0000
0.750 -0.0059 -0.0000
0.850  0.0051  0.0000
0.950  0.0132  0.0000
1.050  0.0174  0.0000
1.150  0.0201  0.0000
1.250  0.0207  0.0000
1.350  0.0194  0.0000
1.450  0.0157  0.0000
1.550  0.0104  0.0000
1.650  0.0042  0.0000
1.750  0.0005  0.0000
