# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.294449 -----------------
#dely    BF
0.050  0.4723  0.0006
0.150  0.4403  0.0006
0.250  0.4034  0.0005
0.350  0.3530  0.0005
0.450  0.3018  0.0004
0.550  0.2505  0.0004
0.650  0.2060  0.0003
0.750  0.1620  0.0003
0.850  0.1231  0.0002
0.950  0.0892  0.0002
1.050  0.0606  0.0001
1.150  0.0387  0.0001
1.250  0.0239  0.0001
1.350  0.0123  0.0000
1.450  0.0056  0.0000
1.550  0.0018  0.0000
1.650  0.0001  0.0000
1.750 -0.0000 -0.0000
