# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=1000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.242472 -----------------
#dely    BF
0.050  0.3653  0.0011
0.150  0.3415  0.0010
0.250  0.3071  0.0010
0.350  0.2737  0.0009
0.450  0.2440  0.0008
0.550  0.2052  0.0007
0.650  0.1755  0.0007
0.750  0.1462  0.0006
0.850  0.1154  0.0005
0.950  0.0854  0.0004
1.050  0.0629  0.0003
1.150  0.0404  0.0003
1.250  0.0288  0.0002
1.350  0.0166  0.0001
1.450  0.0105  0.0001
1.550  0.0040  0.0001
1.650  0.0021  0.0000
1.750  0.0000  0.0000
