# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.267678 -----------------
#dely    BF
0.050  0.4835  0.0003
0.150  0.4461  0.0003
0.250  0.3899  0.0002
0.350  0.3342  0.0002
0.450  0.2756  0.0002
0.550  0.2192  0.0002
0.650  0.1672  0.0001
0.750  0.1254  0.0001
0.850  0.0883  0.0001
0.950  0.0609  0.0001
1.050  0.0393  0.0000
1.150  0.0238  0.0000
1.250  0.0130  0.0000
1.350  0.0067  0.0000
1.450  0.0027  0.0000
1.550  0.0009  0.0000
1.650  0.0001  0.0000
1.750 -0.0000 -0.0000
