# ICODE=211, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0193588 -----------------
#dely    BF
0.050  0.0330  0.0001
0.150  0.0309  0.0001
0.250  0.0289  0.0001
0.350  0.0243  0.0001
0.450  0.0214  0.0001
0.550  0.0159  0.0001
0.650  0.0126  0.0000
0.750  0.0097  0.0000
0.850  0.0070  0.0000
0.950  0.0047  0.0000
1.050  0.0027  0.0000
1.150  0.0016  0.0000
1.250  0.0005  0.0000
1.350  0.0002  0.0000
1.450  0.0001  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
