# ICODE=211, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.5, QUARK_ENTROPY_RATIO=0.18, BARYON_FUDGE=0.666667
# ------- normalization=0.00553116 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0131  0.0000  0.0019  0.0039  0.0072
0.150  0.0115  0.0000  0.0017  0.0039  0.0060
0.250  0.0089  0.0000  0.0017  0.0035  0.0037
0.350  0.0061  0.0000  0.0015  0.0031  0.0015
0.450  0.0035  0.0000  0.0014  0.0026 -0.0005
0.550  0.0025  0.0000  0.0012  0.0021 -0.0007
0.650  0.0023  0.0000  0.0011  0.0016 -0.0004
0.750  0.0020  0.0000  0.0009  0.0012 -0.0001
0.850  0.0016  0.0000  0.0006  0.0009  0.0001
0.950  0.0014  0.0000  0.0006  0.0006  0.0002
1.050  0.0011  0.0000  0.0005  0.0004  0.0002
1.150  0.0007  0.0000  0.0003  0.0002  0.0002
1.250  0.0004  0.0000  0.0002  0.0001  0.0001
1.350  0.0002  0.0000  0.0001  0.0001  0.0000
1.450  0.0001  0.0000  0.0001  0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
