# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0206083 -----------------
#dely    BF
0.050 -0.0737 -0.0002
0.150 -0.0666 -0.0002
0.250 -0.0560 -0.0002
0.350 -0.0399 -0.0001
0.450 -0.0251 -0.0001
0.550 -0.0120 -0.0001
0.650 -0.0017 -0.0000
0.750  0.0071  0.0000
0.850  0.0123  0.0001
0.950  0.0141  0.0001
1.050  0.0136  0.0001
1.150  0.0099  0.0001
1.250  0.0068  0.0001
1.350  0.0035  0.0001
1.450  0.0015  0.0000
1.550  0.0003  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
