# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.190956 -----------------
#dely    BF
0.050  0.2047  0.0001
0.150  0.1966  0.0001
0.250  0.1898  0.0001
0.350  0.1817  0.0001
0.450  0.1753  0.0001
0.550  0.1650  0.0001
0.650  0.1511  0.0001
0.750  0.1367  0.0001
0.850  0.1197  0.0001
0.950  0.1016  0.0001
1.050  0.0851  0.0001
1.150  0.0672  0.0001
1.250  0.0524  0.0001
1.350  0.0374  0.0001
1.450  0.0254  0.0001
1.550  0.0144  0.0000
1.650  0.0051  0.0000
1.750  0.0005  0.0000
