# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0582169 -----------------
#dely    BF
0.050  0.0775  0.0003
0.150  0.0765  0.0003
0.250  0.0684  0.0003
0.350  0.0633  0.0003
0.450  0.0557  0.0002
0.550  0.0499  0.0002
0.650  0.0453  0.0002
0.750  0.0380  0.0002
0.850  0.0318  0.0002
0.950  0.0259  0.0002
1.050  0.0202  0.0002
1.150  0.0138  0.0002
1.250  0.0088  0.0001
1.350  0.0047  0.0001
1.450  0.0019  0.0001
1.550  0.0005  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
