# ICODE=321, JCODE=-2212
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=100000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.000958633 -----------------
#dely    BF
0.050 -0.0054 -0.0004
0.150 -0.0274 -0.0021
0.250 -0.0107 -0.0009
0.350  0.0002  0.0000
0.450  0.0088  0.0008
0.550  0.0016  0.0002
0.650  0.0056  0.0007
0.750  0.0032  0.0005
0.850  0.0025  0.0005
0.950 -0.0024 -0.0005
1.050  0.0031  0.0008
1.150  0.0081  0.0024
1.250  0.0031  0.0015
1.350  0.0000  0.0000
1.450  0.0000  0.0000
1.550  0.0000  0.0000
1.650  0.0000  0.0000
1.750  0.0000  0.0000
