# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.279381 -----------------
#dely    BF
0.050  0.5125  0.0005
0.150  0.4655  0.0005
0.250  0.4064  0.0004
0.350  0.3475  0.0004
0.450  0.2878  0.0003
0.550  0.2292  0.0003
0.650  0.1754  0.0002
0.750  0.1320  0.0002
0.850  0.0943  0.0002
0.950  0.0633  0.0001
1.050  0.0414  0.0001
1.150  0.0247  0.0001
1.250  0.0120  0.0000
1.350  0.0053  0.0000
1.450  0.0001  0.0000
1.550 -0.0014 -0.0000
1.650 -0.0014 -0.0000
1.750 -0.0005 -0.0000
