# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.29875 -----------------
#dely    BF
0.050  0.4268  0.0002
0.150  0.4007  0.0002
0.250  0.3670  0.0002
0.350  0.3329  0.0002
0.450  0.2972  0.0002
0.550  0.2586  0.0002
0.650  0.2190  0.0002
0.750  0.1838  0.0002
0.850  0.1465  0.0002
0.950  0.1146  0.0001
1.050  0.0857  0.0001
1.150  0.0609  0.0001
1.250  0.0424  0.0001
1.350  0.0270  0.0001
1.450  0.0156  0.0000
1.550  0.0070  0.0000
1.650  0.0018  0.0000
1.750  0.0001  0.0000
