# ICODE=0, JCODE=0
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.345025 -----------------
#dely    BF
0.050  0.5452  0.0003
0.150  0.5019  0.0003
0.250  0.4542  0.0002
0.350  0.4044  0.0002
0.450  0.3489  0.0002
0.550  0.2936  0.0002
0.650  0.2427  0.0002
0.750  0.1936  0.0001
0.850  0.1510  0.0001
0.950  0.1119  0.0001
1.050  0.0805  0.0001
1.150  0.0538  0.0001
1.250  0.0341  0.0000
1.350  0.0200  0.0000
1.450  0.0098  0.0000
1.550  0.0043  0.0000
1.650  0.0007  0.0000
1.750 -0.0002 -0.0000
