# ICODE=211, JCODE=-2212
# SIGMA_QGP=1, SIGMA_HAD=0.2
# NSAMPLE=1000000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.175, BARYON_FUDGE=0.65
# ------- normalization=0.00606071 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0136  0.0000  0.0015  0.0059  0.0061
0.150  0.0121  0.0000  0.0015  0.0056  0.0050
0.250  0.0099  0.0000  0.0014  0.0051  0.0034
0.350  0.0072  0.0000  0.0013  0.0043  0.0015
0.450  0.0046  0.0000  0.0011  0.0035 -0.0000
0.550  0.0035  0.0000  0.0010  0.0027 -0.0003
0.650  0.0027  0.0000  0.0009  0.0020 -0.0001
0.750  0.0021  0.0000  0.0007  0.0014  0.0000
0.850  0.0016  0.0000  0.0006  0.0009  0.0001
0.950  0.0013  0.0000  0.0005  0.0006  0.0002
1.050  0.0009  0.0000  0.0004  0.0004  0.0002
1.150  0.0006  0.0000  0.0002  0.0002  0.0001
1.250  0.0003  0.0000  0.0002  0.0001  0.0001
1.350  0.0001  0.0000  0.0001  0.0000  0.0000
1.450  0.0000  0.0000  0.0000  0.0000  0.0000
1.550  0.0000  0.0000  0.0000  0.0000 -0.0000
1.650  0.0000  0.0000  0.0000  0.0000 -0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
