# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=-0.0228146 -----------------
#dely    BF
0.050 -0.0145 -0.0000
0.150 -0.0123 -0.0000
0.250 -0.0166 -0.0000
0.350 -0.0125 -0.0000
0.450 -0.0144 -0.0000
0.550 -0.0130 -0.0000
0.650 -0.0151 -0.0000
0.750 -0.0169 -0.0000
0.850 -0.0168 -0.0000
0.950 -0.0194 -0.0000
1.050 -0.0184 -0.0000
1.150 -0.0178 -0.0000
1.250 -0.0149 -0.0000
1.350 -0.0108 -0.0000
1.450 -0.0076 -0.0000
1.550 -0.0051 -0.0000
1.650 -0.0017 -0.0000
1.750 -0.0002 -0.0000
