# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0650432 -----------------
#dely    BF
0.050  0.1152  0.0008
0.150  0.1067  0.0007
0.250  0.0954  0.0007
0.350  0.0800  0.0006
0.450  0.0675  0.0005
0.550  0.0538  0.0005
0.650  0.0412  0.0004
0.750  0.0321  0.0003
0.850  0.0241  0.0003
0.950  0.0146  0.0002
1.050  0.0095  0.0002
1.150  0.0057  0.0001
1.250  0.0028  0.0001
1.350  0.0012  0.0000
1.450  0.0004  0.0000
1.550  0.0001  0.0000
1.650 -0.0000 -0.0000
1.750  0.0000  0.0000
