# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=5000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.313284 -----------------
#dely    BF
0.050  0.5656  0.0006
0.150  0.5237  0.0006
0.250  0.4527  0.0006
0.350  0.3852  0.0005
0.450  0.3185  0.0004
0.550  0.2577  0.0004
0.650  0.1972  0.0003
0.750  0.1478  0.0003
0.850  0.1085  0.0002
0.950  0.0724  0.0002
1.050  0.0472  0.0001
1.150  0.0294  0.0001
1.250  0.0156  0.0000
1.350  0.0077  0.0000
1.450  0.0036  0.0000
1.550  0.0004  0.0000
1.650 -0.0003 -0.0000
1.750 -0.0001 -0.0000
