# ICODE=211, JCODE=-211
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.168238 -----------------
#dely    BF
0.050  0.2024  0.0001
0.150  0.1928  0.0001
0.250  0.1806  0.0001
0.350  0.1701  0.0001
0.450  0.1589  0.0001
0.550  0.1467  0.0001
0.650  0.1304  0.0001
0.750  0.1129  0.0001
0.850  0.0982  0.0001
0.950  0.0813  0.0001
1.050  0.0654  0.0001
1.150  0.0502  0.0001
1.250  0.0372  0.0001
1.350  0.0264  0.0000
1.450  0.0167  0.0000
1.550  0.0089  0.0000
1.650  0.0029  0.0000
1.750  0.0002  0.0000
