# ICODE=211, JCODE=-321
# SIGMA_QGP=1, SIGMA_HAD=0.4
# NSAMPLE=100000000, Tblast=102, UPERPblast(x,y)=(0.732,0.732)
# SOVERUD=0.93, QUARK_ENTROPY_RATIO=0.25, BARYON_FUDGE=0.666667
# ------- normalization=0.0130062 -----------------
#dely    BF  sigmaB  QGP    LOCAL  RES_DECAYS
0.050  0.0181  0.0000  0.0046  0.0019  0.0117
0.150  0.0176  0.0000  0.0044  0.0018  0.0114
0.250  0.0170  0.0000  0.0043  0.0016  0.0111
0.350  0.0158  0.0000  0.0038  0.0015  0.0105
0.450  0.0140  0.0000  0.0033  0.0013  0.0094
0.550  0.0121  0.0000  0.0030  0.0011  0.0081
0.650  0.0102  0.0000  0.0026  0.0009  0.0068
0.750  0.0084  0.0000  0.0021  0.0007  0.0056
0.850  0.0063  0.0000  0.0017  0.0005  0.0041
0.950  0.0043  0.0000  0.0013  0.0004  0.0026
1.050  0.0029  0.0000  0.0011  0.0003  0.0015
1.150  0.0017  0.0000  0.0008  0.0002  0.0007
1.250  0.0009  0.0000  0.0005  0.0001  0.0003
1.350  0.0004  0.0000  0.0003  0.0001  0.0001
1.450  0.0002  0.0000  0.0001  0.0000  0.0000
1.550  0.0001  0.0000  0.0001  0.0000  0.0000
1.650  0.0000  0.0000 -0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000  0.0000  0.0000
