'InvCoshPar_uu_width','InvCoshPar_ud_width','InvCoshPar_us_width','InvCoshPar_ss_width'
-0.107257,-0.0352529,0.139465,0.0345865
0.0123774,-0.0307265,0.0612414,0.196428
-0.131276,-0.0902564,0.0677926,0.3239
-0.122865,-0.167461,0.0479993,0.424685
-0.072262,-0.22461,0.0942641,0.372101
-0.0077306,-0.376165,0.0107636,0.331069
-0.0077306,-0.376165,0.0107636,0.331069
-0.0077306,-0.376165,0.0107636,0.331069
-0.0881854,-0.457057,-0.0553931,0.352771
-0.104465,-0.587968,0.0590294,0.520152
-0.104465,-0.587968,0.0590294,0.520152
-0.104465,-0.587968,0.0590294,0.520152
-0.104465,-0.587968,0.0590294,0.520152
-0.104465,-0.587968,0.0590294,0.520152
-0.126773,-0.62186,0.292266,0.663639
-0.126773,-0.62186,0.292266,0.663639
-0.243674,-0.473226,0.306523,0.686938
-0.243674,-0.473226,0.306523,0.686938
-0.243674,-0.473226,0.306523,0.686938
-0.243674,-0.473226,0.306523,0.686938
-0.243674,-0.473226,0.306523,0.686938
-0.186677,-0.557446,0.202546,0.652379
-0.0299435,-0.576982,0.217628,0.695412
-0.0299435,-0.576982,0.217628,0.695412
-0.134758,-0.766859,0.276499,0.817082
-0.134758,-0.766859,0.276499,0.817082
-0.117408,-0.742824,0.377272,0.737887
-0.117408,-0.742824,0.377272,0.737887
-0.117408,-0.742824,0.377272,0.737887
-0.0757246,-0.649934,0.506992,0.749071
-0.180621,-0.601596,0.574117,0.863992
-0.216063,-0.547209,0.702851,0.975029
-0.216063,-0.547209,0.702851,0.975029
-0.228971,-0.560734,0.658426,0.805952
-0.228971,-0.560734,0.658426,0.805952
-0.228971,-0.560734,0.658426,0.805952
-0.228971,-0.560734,0.658426,0.805952
-0.293181,-0.544139,0.693169,0.887292
-0.275419,-0.594583,0.770063,0.966341
-0.196474,-0.498072,0.793944,0.995065
-0.196474,-0.498072,0.793944,0.995065
-0.120887,-0.480374,0.830992,0.959745
-0.0638103,-0.581283,0.757284,1.09356
