# ICODE=321, JCODE=-321
# Normalized GAUSSIAN BF, SIGMA_GAUSS=0.3
# NSAMPLE=20000000, Tblast=100, UPERPblast(x,y)=(0.75,0.75)
# BARYON_FUDGE=0.75
# ------- normalization=0.0770621 -----------------
#dely    BF    dB     BFVar
0.050  0.1567  0.0004  0.0045
0.150  0.1438  0.0004  0.0041
0.250  0.1248  0.0004  0.0035
0.350  0.1024  0.0003  0.0043
0.450  0.0760  0.0003  0.0034
0.550  0.0587  0.0002  0.0024
0.650  0.0413  0.0002  0.0017
0.750  0.0264  0.0001  0.0008
0.850  0.0171  0.0001  0.0006
0.950  0.0113  0.0001  0.0011
1.050  0.0063  0.0001  0.0017
1.150  0.0033  0.0000  0.0004
1.250  0.0016  0.0000  0.0001
1.350  0.0007  0.0000  0.0001
1.450  0.0002  0.0000  0.0000
1.550  0.0000  0.0000  0.0000
1.650  0.0000  0.0000  0.0000
1.750  0.0000  0.0000  0.0000
